epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,27.2605,2.07229,3.60709,2.51307,0.00212,0.62952,0.05124,0.02631,1.89714,4.30204,3.54601,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,44.1736,2.17927,3.62026,2.72125,0.0018,0.60095,0.06152,0.03059,2.14643,4.48298,3.69513,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,58.9613,1.99307,3.5339,2.4555,0.00194,0.55905,0.03925,0.01898,2.22496,4.5263,3.67008,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,72.9229,1.8963,3.52256,2.40746,0.00311,0.68762,0.04065,0.01787,2.09731,4.48609,3.43948,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,86.5523,1.91009,3.55488,2.462,0.00385,0.81619,0.05192,0.02145,1.98979,4.43513,3.46408,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,101.223,1.93141,3.49559,2.41116,0.00356,0.84381,0.07013,0.02948,1.95173,4.39873,3.34733,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,114.483,1.7487,3.41883,2.26287,0.00367,0.94286,0.09127,0.03984,1.8303,4.29986,3.23146,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,128.18,1.69447,3.45578,2.23216,0.00353,0.95714,0.10241,0.0425,1.76854,4.29133,3.11918,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,141.665,1.734,3.46897,2.24243,0.0035,0.97143,0.11923,0.05186,1.69785,4.23151,3.05655,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,155.855,1.63731,3.40509,2.1824,0.00348,0.98571,0.10667,0.05228,1.6354,4.18978,3.0167,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,170.618,1.6467,3.43332,2.2119,0.00342,1,0.12285,0.06005,1.58082,4.15412,2.95681,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,184.59,1.57253,3.41177,2.15963,0.06014,0.51619,0.15264,0.06353,1.67527,4.13433,3.02106,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,198.363,1.5528,3.36554,2.09432,0.87729,0.05424,0.19597,0.09383,1.70627,4.05456,3.09726,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,212.075,1.51621,3.31136,2.0576,0.88112,0.08784,0.17598,0.08999,1.70513,4.08048,3.1428,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,225.533,1.49834,3.29823,2.01499,0.71333,0.1,0.17497,0.0861,1.71126,4.07025,3.13278,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,238.925,1.42925,3.34834,2.01192,0.54674,0.13649,0.23711,0.11195,1.73041,3.99092,3.03178,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,251.941,1.55816,3.28498,2.06024,0.89726,0.12191,0.2654,0.10665,1.75541,3.94031,3.00465,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,265.1,1.51326,3.28583,2.07127,0.54962,0.18571,0.30398,0.11783,1.80646,3.93511,3.04255,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,278.968,1.3982,3.21195,2.00438,0.71236,0.17658,0.3003,0.10566,1.84962,3.90248,3.03317,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,292.109,1.47154,3.25608,2.00996,0.52533,0.19544,0.30462,0.1064,1.85351,3.82806,3.01648,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,306.066,1.28648,3.17602,1.90458,0.52307,0.19114,0.28347,0.10179,1.88481,3.75162,3.04961,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,319.217,1.35252,3.19756,1.94634,0.52219,0.19905,0.2838,0.10219,1.86782,3.77646,3.01867,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,332.005,1.35696,3.14305,1.92206,0.57142,0.25205,0.29303,0.10666,1.84333,3.74023,2.95936,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
