epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,44.4307,2.07216,3.60764,2.55915,0.00437,0.75893,0.06189,0.0275,1.81429,4.29527,3.60225,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,71.4477,2.13643,3.65066,2.67058,0.00446,0.74464,0.10665,0.05732,1.95571,4.44005,3.56373,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,94.7245,1.94526,3.50081,2.42026,0.0043,0.68929,0.05205,0.02516,2.08464,4.56519,3.62571,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,114.21,1.77813,3.44863,2.30327,0.00474,0.80357,0.0756,0.04012,2.02631,4.42898,3.45312,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,133.835,1.97472,3.59157,2.53352,0.00403,0.84464,0.1564,0.08821,1.95929,4.48265,3.37847,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,154.922,1.88339,3.48165,2.33428,0.0036,0.85893,0.12459,0.06732,1.94243,4.39883,3.37906,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,173.045,1.67874,3.38319,2.19577,0.00334,0.90179,0.09749,0.04527,1.93609,4.42768,3.38572,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,191.172,1.70838,3.42355,2.27265,0.00342,0.95714,0.17439,0.09396,1.82943,4.2923,3.25626,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,209.728,1.68684,3.43218,2.21673,0.00343,0.97143,0.17134,0.09397,1.76168,4.21929,3.13484,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,228.429,1.53725,3.37913,2.09848,0.00344,0.97143,0.18435,0.09612,1.74824,4.18634,3.12576,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,248.889,1.64038,3.42005,2.15904,0.00337,0.98571,0.2461,0.12208,1.76297,4.06572,3.09978,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,268.381,1.49456,3.34747,2.10131,0.95102,0.13235,0.22567,0.11415,1.72265,4.037,3.07066,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,290.562,1.51056,3.31776,2.05641,0.95366,0.17143,0.22508,0.11472,1.73466,3.98847,3.10453,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,309.732,1.47251,3.27807,2.03515,0.83001,0.18157,0.2328,0.11695,1.69447,3.96379,3.07394,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,329.23,1.42115,3.21043,1.95741,0.60559,0.18223,0.22322,0.11495,1.66487,3.90224,3.03832,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,350.917,1.44383,3.26387,2.00063,0.931,0.17143,0.2262,0.10723,1.7245,3.90772,3.0731,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,371.303,1.49883,3.1874,2.00309,0.91573,0.17143,0.22421,0.10069,1.7254,3.84793,3.04245,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,391.07,1.45489,3.20634,2.00845,0.9061,0.17143,0.23035,0.10422,1.72796,3.82501,3.04896,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,412.505,1.37711,3.19958,1.97462,0.94763,0.17143,0.27735,0.12853,1.70059,3.76291,2.96812,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
