epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,177.237,2.0117,4.88915,2.10697,0.01653,0.00212,0.00882,0.00095,1.89877,5.10074,2.84568,8.96121e-05,2.98707e-05,8.96121e-05,2.98707e-05,8.96121e-05,2.98707e-05,8.96121e-05,2.98707e-05
2,315.175,1.96109,4.87387,2.05983,0.00267,0.00537,0.00146,0.00039,1.85795,5.09279,2.74493,0.000177834,5.9278e-05,0.000177834,5.9278e-05,0.000177834,5.9278e-05,0.000177834,5.9278e-05
3,445.327,1.91141,4.86117,2.00254,0.01869,0.00748,0.01011,0.00131,1.78404,5.07065,2.62612,0.000264274,8.80912e-05,0.000264274,8.80912e-05,0.000264274,8.80912e-05,0.000264274,8.80912e-05
4,573.844,1.84487,4.86127,1.9604,0.01791,0.00635,0.00995,0.00161,1.7074,5.0506,2.51356,0.000261981,8.7327e-05,0.000261981,8.7327e-05,0.000261981,8.7327e-05,0.000261981,8.7327e-05
5,704.226,1.75547,4.84477,1.88096,0.00473,0.01073,0.00282,0.00101,1.5965,5.02582,2.38013,0.000259308,8.6436e-05,0.000259308,8.6436e-05,0.000259308,8.6436e-05,0.000259308,8.6436e-05
6,832.219,1.6869,4.82829,1.82384,0.00274,0.00748,0.00169,0.00074,1.52463,5.0074,2.25958,0.000256635,8.5545e-05,0.000256635,8.5545e-05,0.000256635,8.5545e-05,0.000256635,8.5545e-05
7,963.337,1.60703,4.82095,1.77526,0.00542,0.01172,0.00315,0.00096,1.4261,4.98161,2.15406,0.000253962,8.4654e-05,0.000253962,8.4654e-05,0.000253962,8.4654e-05,0.000253962,8.4654e-05
8,1091.1,1.54849,4.79815,1.71323,0.00305,0.00847,0.00201,0.00105,1.34408,4.97302,2.05063,0.000251289,8.3763e-05,0.000251289,8.3763e-05,0.000251289,8.3763e-05,0.000251289,8.3763e-05
9,1221.19,1.48563,4.79619,1.65125,0.00523,0.01391,0.00398,0.00155,1.27708,4.95963,1.97039,0.000248616,8.2872e-05,0.000248616,8.2872e-05,0.000248616,8.2872e-05,0.000248616,8.2872e-05
10,1349.85,1.42566,4.7851,1.61895,0.00262,0.00748,0.00191,0.00067,1.23344,4.95898,1.8933,0.000245943,8.1981e-05,0.000245943,8.1981e-05,0.000245943,8.1981e-05,0.000245943,8.1981e-05
11,1478.66,1.39876,4.78019,1.59761,0.00367,0.0096,0.00241,0.00088,1.17342,4.93907,1.83354,0.00024327,8.109e-05,0.00024327,8.109e-05,0.00024327,8.109e-05,0.00024327,8.109e-05
12,1606.3,1.34898,4.77483,1.56031,0.00336,0.00748,0.00198,0.00093,1.10938,4.92608,1.76571,0.000240597,8.0199e-05,0.000240597,8.0199e-05,0.000240597,8.0199e-05,0.000240597,8.0199e-05
13,1736.35,1.29574,4.77522,1.52634,0.00813,0.01066,0.00509,0.00295,1.07867,4.92098,1.7249,0.000237924,7.9308e-05,0.000237924,7.9308e-05,0.000237924,7.9308e-05,0.000237924,7.9308e-05
14,1865.9,1.2732,4.76149,1.5102,0.00536,0.00537,0.00317,0.00198,1.05274,4.91152,1.68326,0.000235251,7.8417e-05,0.000235251,7.8417e-05,0.000235251,7.8417e-05,0.000235251,7.8417e-05
15,1996.08,1.22591,4.75087,1.47431,0.00957,0.01285,0.00601,0.0037,1.02879,4.90644,1.65264,0.000232578,7.7526e-05,0.000232578,7.7526e-05,0.000232578,7.7526e-05,0.000232578,7.7526e-05
16,2125.58,1.19685,4.74359,1.46574,0.00906,0.01595,0.00554,0.00321,0.98492,4.89154,1.61263,0.000229905,7.6635e-05,0.000229905,7.6635e-05,0.000229905,7.6635e-05,0.000229905,7.6635e-05
17,2256,1.17492,4.74723,1.44471,0.00673,0.01587,0.00457,0.00261,0.9641,4.88097,1.57845,0.000227232,7.5744e-05,0.000227232,7.5744e-05,0.000227232,7.5744e-05,0.000227232,7.5744e-05
18,2389.11,1.14319,4.73521,1.42658,0.01518,0.01912,0.01065,0.00635,0.92554,4.86262,1.54207,0.000224559,7.4853e-05,0.000224559,7.4853e-05,0.000224559,7.4853e-05,0.000224559,7.4853e-05
19,2520.45,1.10476,4.72985,1.40376,0.00656,0.01701,0.00639,0.00421,0.91977,4.86177,1.5195,0.000221886,7.3962e-05,0.000221886,7.3962e-05,0.000221886,7.3962e-05,0.000221886,7.3962e-05
20,2649.74,1.09337,4.72435,1.39624,0.00922,0.01807,0.00705,0.00418,0.88119,4.84569,1.48538,0.000219213,7.3071e-05,0.000219213,7.3071e-05,0.000219213,7.3071e-05,0.000219213,7.3071e-05
21,2779.79,1.06845,4.71543,1.37435,0.0127,0.02132,0.01026,0.0071,0.84981,4.83534,1.45611,0.00021654,7.218e-05,0.00021654,7.218e-05,0.00021654,7.218e-05,0.00021654,7.218e-05
22,2909.8,1.07866,4.715,1.39129,0.01072,0.02449,0.00757,0.00523,0.84816,4.83106,1.44102,0.000213867,7.1289e-05,0.000213867,7.1289e-05,0.000213867,7.1289e-05,0.000213867,7.1289e-05
23,3041.91,1.04944,4.72115,1.37542,0.01094,0.02562,0.00802,0.00556,0.83155,4.82189,1.42352,0.000211194,7.0398e-05,0.000211194,7.0398e-05,0.000211194,7.0398e-05,0.000211194,7.0398e-05
24,3171.32,1.03906,4.70699,1.36049,0.00708,0.03099,0.00585,0.00337,0.81234,4.80867,1.4074,0.000208521,6.9507e-05,0.000208521,6.9507e-05,0.000208521,6.9507e-05,0.000208521,6.9507e-05
25,3300.45,1.00122,4.69775,1.34036,0.00664,0.02872,0.00566,0.00381,0.79182,4.79977,1.38697,0.000205848,6.8616e-05,0.000205848,6.8616e-05,0.000205848,6.8616e-05,0.000205848,6.8616e-05
26,3436.86,1.00803,4.69501,1.34221,0.01127,0.03182,0.007,0.00487,0.7805,4.79295,1.37018,0.000203175,6.7725e-05,0.000203175,6.7725e-05,0.000203175,6.7725e-05,0.000203175,6.7725e-05
27,3553.97,1.00369,4.68683,1.33017,0.00589,0.03492,0.00469,0.00336,0.76193,4.77682,1.35702,0.000200502,6.6834e-05,0.000200502,6.6834e-05,0.000200502,6.6834e-05,0.000200502,6.6834e-05
