epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,19.0401,1.96339,3.3597,2.06242,0.00438,1,0.1554,0.05934,1.79193,3.54873,2.76936,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887,0.00056661,0.00018887
2,30.3717,1.85563,3.34246,2.03206,0.00416,1,0.15127,0.06298,1.70695,3.5321,2.63712,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385,0.001155,0.000385
3,40.5607,1.82465,3.26369,2.00043,0.00406,1,0.1114,0.05053,1.64828,3.53477,2.55974,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171,0.00173151,0.000577171
4,50.6115,1.77134,3.30306,1.8768,0.00401,1,0.10294,0.05275,1.57079,3.51979,2.45013,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382,0.00229615,0.000765382
5,61.1331,1.82005,3.25529,1.94504,0.00398,1,0.12672,0.05198,1.52963,3.5116,2.40942,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634,0.0028489,0.000949634
6,71.0939,1.71569,3.23434,1.86482,0.00394,1,0.1477,0.09118,1.45347,3.46544,2.31709,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,80.6498,1.63793,3.21596,1.77424,0.00382,1,0.17245,0.11383,1.39738,3.43156,2.2181,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,91.2814,1.54655,3.20803,1.68898,0.00378,1,0.18791,0.12723,1.40385,3.41704,2.21474,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,101.782,1.45997,3.22351,1.71207,0.00372,1,0.20443,0.13516,1.35076,3.38479,2.13496,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,111.614,1.46183,3.15483,1.59954,0.00367,1,0.1862,0.12263,1.30243,3.3518,2.05451,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,121.897,1.45696,3.21125,1.57318,0.00365,1,0.21651,0.15435,1.21767,3.28222,1.96429,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,131.686,1.39772,3.14127,1.59088,0.00363,1,0.20889,0.14168,1.18613,3.25894,1.90678,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,141.567,1.4115,3.14699,1.59621,0.0036,1,0.22407,0.14699,1.14755,3.2403,1.84925,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,151.917,1.36165,3.14436,1.57477,0.10944,0.3419,0.21487,0.14924,1.10559,3.22371,1.77802,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,162.136,1.26936,3.14798,1.51606,0.105,0.60762,0.22794,0.16226,1.06499,3.19837,1.7316,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,171.698,1.31892,3.1135,1.50862,0.50188,0.22857,0.24684,0.17873,1.03819,3.16745,1.70373,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,181.585,1.29783,3.13748,1.53576,0.72051,0.11429,0.25284,0.1773,1.04591,3.12997,1.70615,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,191.62,1.21984,3.08772,1.44779,0.73903,0.17734,0.24881,0.17647,1.02706,3.10068,1.6769,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,201.772,1.1293,3.09447,1.4341,0.72647,0.2,0.26673,0.18958,0.98491,3.04343,1.60676,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,211.459,1.20341,3.01938,1.45684,0.71342,0.2,0.25247,0.17956,0.96749,3.02627,1.58066,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,221.369,1.15117,3.03976,1.44095,0.81077,0.18571,0.2586,0.18467,0.96685,2.99468,1.56481,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,230.965,1.14765,3.0668,1.42835,0.78839,0.18571,0.26343,0.18857,0.95755,2.97518,1.55074,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,240.374,1.09483,3.00107,1.39036,0.8815,0.18571,0.29187,0.21586,0.93592,2.90877,1.52955,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,249.728,1.14167,3.03696,1.40116,0.86652,0.18571,0.27798,0.20476,0.94175,2.89038,1.52281,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,260.368,1.04773,2.91178,1.35029,0.71258,0.21429,0.29917,0.22346,0.89699,2.84698,1.49019,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,270.725,1.10921,2.96099,1.36402,0.7106,0.21429,0.29319,0.21962,0.88775,2.83415,1.4794,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
27,280.846,1.03445,2.92298,1.34582,0.71389,0.22857,0.29578,0.23372,0.87573,2.79759,1.46078,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
28,290.493,1.06985,2.97064,1.36041,0.71492,0.24286,0.31877,0.25581,0.84302,2.77443,1.43685,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
29,300.15,1.0118,2.89592,1.30989,0.51676,0.24699,0.32332,0.25667,0.82727,2.74931,1.42667,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
30,309.862,0.96988,2.91489,1.30422,0.71666,0.24427,0.32141,0.26272,0.8111,2.72689,1.41421,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,319.559,1.03316,2.88704,1.33512,0.49403,0.25714,0.31594,0.25757,0.78097,2.71555,1.38571,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,330.012,0.97097,2.84163,1.29169,0.76829,0.2,0.3034,0.24806,0.7653,2.70107,1.37055,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,339.722,0.97856,2.83549,1.29264,0.77343,0.2,0.32954,0.26944,0.731,2.65486,1.34573,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,349.862,0.95182,2.83335,1.30202,0.79527,0.19751,0.31804,0.26418,0.72364,2.64207,1.33829,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,360.016,0.9312,2.76486,1.25964,0.5141,0.34286,0.33773,0.28239,0.67041,2.54623,1.29315,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,369.553,0.91573,2.65792,1.26318,0.33275,0.32857,0.36496,0.30919,0.63423,2.50769,1.26946,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,378.98,0.87479,2.69649,1.2513,0.32881,0.34286,0.35994,0.30372,0.65561,2.49203,1.28064,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
38,389.089,0.92661,2.71606,1.25561,0.33987,0.36975,0.37403,0.31121,0.66314,2.47925,1.27775,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041,0.00211212,0.000704041
39,399.107,0.88575,2.72017,1.25427,0.44722,0.37095,0.37969,0.31938,0.68722,2.45588,1.28794,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042,0.00207913,0.000693042
40,408.717,0.91041,2.73562,1.26806,0.39351,0.4,0.38108,0.31766,0.6768,2.44229,1.27896,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043,0.00204613,0.000682043
41,418.248,0.94538,2.7144,1.29181,0.36624,0.41333,0.41279,0.34176,0.63306,2.41122,1.25215,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044,0.00201313,0.000671044
42,428.028,0.99171,2.73268,1.30566,0.40423,0.44759,0.43066,0.35039,0.61614,2.39149,1.24268,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045,0.00198014,0.000660045
43,437.974,0.92492,2.66918,1.28479,0.22603,0.46749,0.42871,0.35271,0.60845,2.34583,1.22664,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046,0.00194714,0.000649046
44,447.872,0.91137,2.64862,1.24856,0.26555,0.51072,0.45459,0.37487,0.60511,2.32388,1.22483,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,457.674,0.85887,2.55398,1.21664,0.25162,0.48381,0.44899,0.38265,0.6099,2.28069,1.21444,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
